concept_id,level
https://openalex.org/C2988430800,3
https://openalex.org/C155512373,2
https://openalex.org/C83283714,2
https://openalex.org/C81502235,2
https://openalex.org/C195251586,3
https://openalex.org/C194544171,2
https://openalex.org/C155846161,2
https://openalex.org/C138673069,2
https://openalex.org/C56056324,4
https://openalex.org/C2781353100,2
https://openalex.org/C55851704,5
https://openalex.org/C136479403,3
https://openalex.org/C2777299769,2
https://openalex.org/C156004811,2
https://openalex.org/C77170095,2
https://openalex.org/C62973154,3
https://openalex.org/C126042441,2
https://openalex.org/C2776085556,2
https://openalex.org/C112633086,2
https://openalex.org/C121099081,2
https://openalex.org/C100460472,3
https://openalex.org/C62649853,1
https://openalex.org/C54937798,2
https://openalex.org/C124584101,2
https://openalex.org/C157479481,3
https://openalex.org/C159254197,2
https://openalex.org/C49774154,1
https://openalex.org/C188082385,2
https://openalex.org/C2992500303,2
https://openalex.org/C73468433,4
https://openalex.org/C62641251,5
https://openalex.org/C106925770,3
https://openalex.org/C6497535,4
https://openalex.org/C66989864,5
https://openalex.org/C116188536,2
https://openalex.org/C172385210,3
https://openalex.org/C61665672,4
https://openalex.org/C50742451,2
https://openalex.org/C129861397,2
https://openalex.org/C2780035454,2
https://openalex.org/C18231593,3
https://openalex.org/C2775936607,2
https://openalex.org/C103862110,3
https://openalex.org/C68710425,3
https://openalex.org/C137022216,5
https://openalex.org/C30005106,3
https://openalex.org/C149629883,2
https://openalex.org/C2776814158,2
https://openalex.org/C18705241,3
https://openalex.org/C162565982,4
https://openalex.org/C2776818064,2
https://openalex.org/C62354387,2
https://openalex.org/C154690210,2
https://openalex.org/C181104567,2
https://openalex.org/C38976095,2
https://openalex.org/C135981907,2
https://openalex.org/C49853544,2
https://openalex.org/C17825722,2
https://openalex.org/C89957378,3
https://openalex.org/C2780722187,2
https://openalex.org/C2781363786,2
https://openalex.org/C17886624,3
https://openalex.org/C2778627824,2
https://openalex.org/C11630735,3
https://openalex.org/C112876837,2
https://openalex.org/C2781249084,2
https://openalex.org/C3253136,3
https://openalex.org/C3020774429,3
https://openalex.org/C509933004,2
https://openalex.org/C7503960,2
https://openalex.org/C160724564,3
https://openalex.org/C147037132,3
https://openalex.org/C44280652,2
https://openalex.org/C121758426,3
https://openalex.org/C206274596,2
https://openalex.org/C520049643,3
https://openalex.org/C2993899435,2
https://openalex.org/C2778136018,2
https://openalex.org/C36556920,3
https://openalex.org/C103377522,4
https://openalex.org/C2780898871,2
https://openalex.org/C203702658,2
https://openalex.org/C146617872,3
https://openalex.org/C191413488,2
https://openalex.org/C120317606,3
https://openalex.org/C191935318,2
https://openalex.org/C97355855,1
https://openalex.org/C150143219,2
